📊 Episode 0 (Route 0): Reward=-7.37, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.19, D_Penalty=-3.7132, AccPenalty=-0.44, LowSpeedPenalty=-4.41, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 1 (Route 0): Reward=-4.34, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.68, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.02, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 2 (Route 0): Reward=-42.24, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.14, D_Penalty=-28.8076, AccPenalty=-2.19, LowSpeedPenalty=-2.38, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=611
📊 Episode 3 (Route 0): Reward=-5.22, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.36, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.58, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 4 (Route 0): Reward=-3.29, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.49, D_Penalty=-0.6554, AccPenalty=0.00, LowSpeedPenalty=-4.13, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 5 (Route 0): Reward=-6.34, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.28, D_Penalty=-3.4816, AccPenalty=-0.51, LowSpeedPenalty=-3.63, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 6 (Route 0): Reward=-4.31, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.71, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.02, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 7 (Route 0): Reward=-4.61, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.52, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.13, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 8 (Route 0): Reward=-3.55, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.86, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.41, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 9 (Route 0): Reward=-3.73, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.94, D_Penalty=-0.1539, AccPenalty=0.00, LowSpeedPenalty=-4.51, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 10 (Route 0): Reward=-4.68, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.55, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.23, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
