📊 Episode 0 (Route 0): Reward=0.01, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=2.04, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.03, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 1 (Route 0): Reward=-4.48, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.63, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.11, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 2 (Route 0): Reward=-5.26, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.26, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.52, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 3 (Route 0): Reward=-2.09, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.05, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.14, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 4 (Route 0): Reward=-5.45, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.19, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.64, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 5 (Route 0): Reward=-1.63, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.74, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.38, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 6 (Route 0): Reward=-4.71, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.53, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.23, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 7 (Route 0): Reward=-4.40, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.59, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.99, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 8 (Route 0): Reward=-1.41, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.08, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.49, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 9 (Route 0): Reward=-3.20, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.14, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.34, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 10 (Route 0): Reward=-3.60, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.96, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.56, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 11 (Route 0): Reward=-4.39, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.71, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.10, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 12 (Route 0): Reward=-5.10, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.30, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.40, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 13 (Route 0): Reward=-11.86, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.97, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.84, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=503
📊 Episode 14 (Route 0): Reward=-4.56, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.48, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.04, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 15 (Route 0): Reward=-4.59, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.45, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.04, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 16 (Route 0): Reward=-4.34, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.54, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.87, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 17 (Route 0): Reward=8.16, GoalReward=5.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=0.00, SpeedReward=3.39, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.23, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=675
📊 Episode 18 (Route 0): Reward=-4.92, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.51, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.43, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 19 (Route 0): Reward=-2.91, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.14, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.05, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 20 (Route 0): Reward=-5.05, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.35, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.40, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 21 (Route 0): Reward=-4.05, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.68, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.72, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 22 (Route 0): Reward=-2.63, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.21, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.84, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 23 (Route 0): Reward=-3.72, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.84, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.56, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 24 (Route 0): Reward=-4.21, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.70, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.90, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 25 (Route 0): Reward=-5.20, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.35, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.55, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 26 (Route 0): Reward=-4.95, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.43, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.38, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 27 (Route 0): Reward=-11.52, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.06, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.58, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=483
📊 Episode 28 (Route 0): Reward=-3.88, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.84, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.72, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 29 (Route 0): Reward=-4.62, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.45, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.07, Actor Loss=-0.284241, Critic1 Loss=0.028150, Critic2 Loss=0.028300, Alpha=0.2220, AvgQ=0.1327, AvgLogPi=-0.6825, Steps to Finish=700
