📊 Episode 0 (Route 0): Reward=-1.46, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=-4.04, SpeedReward=2.85, TTC_Penalty=0.00, AccPenalty=-0.59, LowSpeedPenalty=-1.68, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 1 (Route 0): Reward=1.30, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-0.05, SpeedReward=2.85, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.50, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 2 (Route 0): Reward=-4.88, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-4.30, SpeedReward=1.53, TTC_Penalty=0.00, AccPenalty=0.07, LowSpeedPenalty=-2.19, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 3 (Route 0): Reward=-13.35, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=-0.79, SpeedReward=0.97, TTC_Penalty=0.00, AccPenalty=-0.25, LowSpeedPenalty=-3.29, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=589
📊 Episode 4 (Route 0): Reward=-0.69, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=1.90, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.59, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 5 (Route 0): Reward=-24.70, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=-13.89, SpeedReward=1.20, TTC_Penalty=0.00, AccPenalty=-1.39, LowSpeedPenalty=-0.62, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=420
📊 Episode 6 (Route 0): Reward=-0.19, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-0.12, SpeedReward=2.24, TTC_Penalty=0.00, AccPenalty=-0.00, LowSpeedPenalty=-3.32, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 7 (Route 0): Reward=-11.37, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=-1.10, SpeedReward=0.97, TTC_Penalty=0.00, AccPenalty=-0.10, LowSpeedPenalty=-1.14, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=307
📊 Episode 8 (Route 0): Reward=-2.97, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-1.62, SpeedReward=1.59, TTC_Penalty=0.00, AccPenalty=-0.05, LowSpeedPenalty=-2.90, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 9 (Route 0): Reward=-3.00, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-0.12, SpeedReward=1.21, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.10, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 10 (Route 0): Reward=-5.57, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-3.48, SpeedReward=1.04, TTC_Penalty=0.00, AccPenalty=0.31, LowSpeedPenalty=-3.45, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 11 (Route 0): Reward=-0.76, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-0.65, SpeedReward=2.00, TTC_Penalty=0.00, AccPenalty=-0.06, LowSpeedPenalty=-3.06, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 12 (Route 0): Reward=-1.98, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.64, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.62, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 13 (Route 0): Reward=0.91, GoalReward=5.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=-5.41, SpeedReward=2.49, TTC_Penalty=0.00, AccPenalty=-1.02, LowSpeedPenalty=-2.14, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=614
📊 Episode 14 (Route 0): Reward=-12.18, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=-1.67, SpeedReward=0.98, TTC_Penalty=0.00, AccPenalty=-0.16, LowSpeedPenalty=-1.33, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=416
📊 Episode 15 (Route 0): Reward=-3.12, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-3.81, SpeedReward=1.84, TTC_Penalty=0.00, AccPenalty=-0.02, LowSpeedPenalty=-2.13, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 16 (Route 0): Reward=-13.16, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=-1.19, SpeedReward=0.93, TTC_Penalty=0.00, AccPenalty=-0.15, LowSpeedPenalty=-2.75, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=502
📊 Episode 17 (Route 0): Reward=-4.14, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-1.99, SpeedReward=1.40, TTC_Penalty=0.00, AccPenalty=-0.22, LowSpeedPenalty=-3.33, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 18 (Route 0): Reward=8.13, GoalReward=5.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=-0.77, SpeedReward=3.30, TTC_Penalty=0.00, AccPenalty=-0.04, LowSpeedPenalty=-1.36, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=569
📊 Episode 19 (Route 0): Reward=0.90, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-0.40, SpeedReward=2.57, TTC_Penalty=0.00, AccPenalty=0.02, LowSpeedPenalty=-2.29, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 20 (Route 0): Reward=7.88, GoalReward=5.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=-0.84, SpeedReward=3.16, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-1.44, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=573
📊 Episode 21 (Route 0): Reward=-3.03, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-1.18, SpeedReward=1.12, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.97, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 22 (Route 0): Reward=5.97, GoalReward=5.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=-3.19, SpeedReward=3.05, TTC_Penalty=0.00, AccPenalty=0.17, LowSpeedPenalty=-1.05, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=562
📊 Episode 23 (Route 0): Reward=-5.60, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-8.25, SpeedReward=2.18, TTC_Penalty=0.00, AccPenalty=-0.19, LowSpeedPenalty=-0.35, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
