📊 Episode 0 (Route 0): Reward=-1.38, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=1.97, TTC_Penalty=-0.67, AccPenalty=-0.10, LowSpeedPenalty=-3.59, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 1 (Route 0): Reward=-4.77, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.53, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.29, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 2 (Route 0): Reward=-4.49, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.60, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.08, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 3 (Route 0): Reward=-4.05, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.99, TTC_Penalty=-0.53, AccPenalty=0.00, LowSpeedPenalty=-4.51, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 4 (Route 0): Reward=-3.83, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.91, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.74, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 5 (Route 0): Reward=-3.28, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.24, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.51, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 6 (Route 0): Reward=-3.97, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.91, TTC_Penalty=-0.05, AccPenalty=0.00, LowSpeedPenalty=-4.83, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 7 (Route 0): Reward=-4.63, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.53, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.16, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 8 (Route 0): Reward=-5.00, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.52, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.52, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 9 (Route 0): Reward=-4.98, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.42, TTC_Penalty=-0.21, AccPenalty=0.00, LowSpeedPenalty=-5.19, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 10 (Route 0): Reward=-3.80, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.95, TTC_Penalty=-0.17, AccPenalty=0.00, LowSpeedPenalty=-4.57, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
